stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
美崙公園,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:26:00,臺北市士林區美崙街188號,121.5196558,25.0969792
西歐加油站士林站,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:26:00,臺北市士林區中山北路五段570號,121.528164,25.095663
文昌國小地下停車場,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:26:00,臺北市士林區文林路615巷20號,121.521336,25.099402
臺北市士林區士林國民小學,2011/12/14 下午 05:01:00,座數：27，特優級：0，優等級：27，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區大東路165號,121.525064,25.09258
臺北市士林區雨農國民小學,2011/12/14 下午 05:01:00,座數：12，特優級：0，優等級：12，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區忠義街1號,121.529455,25.105269
臺北市士林區劍潭國民小學,2011/12/14 下午 05:01:00,座數：18，特優級：0，優等級：18，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區通河街16號,121.522893,25.079905
監理處北區分處,2011/12/14 下午 05:01:00,座數：10，特優級：10，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區承德路五段80號,121.51433,25.094158
臺灣士林地方法院檢察署,2011/12/14 下午 05:01:00,座數：6，特優級：6，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區士東路190號,121.53308,25.112514
台灣麥當勞台北格致分公司,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區格致路58之62號1.2樓,121.54666,25.137706
建成國中地下停車場,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區長安西路37號之1地下室,121.519621,25.050483
蓬萊國小地下停車場,2011/12/14 下午 05:01:00,座數：4，特優級：0，優等級：4，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區寧夏路35號B1,121.515527,25.056814
臺北市大同區運動中心,2011/12/14 下午 05:01:00,座數：11，特優級：0，優等級：11，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大同區大龍街51號,121.516314,25.064665
臺北市立圖書館大同分館,2011/12/14 下午 05:01:00,座數：4，特優級：0，優等級：4，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區重慶北路三段318號,121.513555,25.074304
台灣麥當勞台北承德分公司,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區承德路一段34號,121.516675,25.050797
統一星巴克南西門市,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區南京西路27號1樓,121.520172,25.05286
捷運大安站,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大安區信義路四段2號,121.543828,25.033086
僑安地下停車場,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區忠孝東路四段306號B1,121.5568135,25.0412867
大安車層景福宮,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區延吉街77號,121.553975,25.044175
臺北市私立喬治高級工商職業學校,2011/12/14 下午 05:01:00,座數：12，特優級：0，優等級：8，普通級：4，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區基隆路二段155、172號,121.554966,25.025714
安和路派出所,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區信義路四段216號,121.551868,25.033043
新生南路派出所,2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區仁愛路三段18號,121.534156,25.037729
台灣麥當勞新生南路分公司,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區新生南路三段88之1.2.3號,121.533552,25.018322
國聯大飯店,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區光復南路200號,121.557466,25.042095
福華飯店,2011/12/14 下午 05:01:00,座數：12，特優級：12，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市大安區仁愛路三段160號,121.543347,25.037712
大安14號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區臥龍街151巷20號邊,121.551577,25.01903
榮星公園,2011/12/14 下午 05:01:00,座數：3，特優級：0，優等級：3，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區民權東路三段1號,121.538864,25.063371
濱江加油站,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區濱江街195號,121.539409,25.072918
臺北民族漁市場,2011/12/14 下午 05:01:00,座數：3，特優級：0，優等級：3，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區民族東路410巷2弄20號,121.536732,25.066674
忠烈祠,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區北安路139號,121.530249,25.078106
臺北市立美術館,2011/12/14 下午 05:01:00,座數：6，特優級：6，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區中山北路三段181號,121.524686,25.072631
臺北市中山區大佳國民小學,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區濱江街107號,121.535649,25.073319
臺北市中山區健康服務中心,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區松江路367號7樓,121.533556,25.064455
中油社子站,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:26:00,臺北市士林區重慶北路四段198號,121.51182,25.084886
故宮停車場,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：0，普通級：2，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區至善路二段221號對面,121.549242,25.099239
克強游泳池,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區磺溪街55巷2號,121.522836,25.107477
臺北市士林區百齡國民小學,2011/12/14 下午 05:01:00,座數：26，特優級：1，優等級：25，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區福港街205號,121.517996,25.08636
臺北市立至善國民中學,2011/12/14 下午 05:01:00,座數：6，特優級：0，優等級：6，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區至善路二段360號,121.5554811,25.1034878
士林地政事務所,2011/12/14 下午 05:01:00,座數：5，特優級：4，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區中正路439號5樓,121.51967,25.092808
翠山派出所,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區中社路一段56號,121.560269,25.108065
肯德基士林分公司,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區文林路88號,121.52597,25.087298
臺北市立聯合醫院士林門診,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區中正路439號,121.51967,25.092808
捷運圓山站,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大同區酒泉街9之1號,121.519628,25.070579
臺北市大同區日新國民小學,2011/12/14 下午 05:01:00,座數：22，特優級：15，優等級：7，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區太原路151號,121.516548,25.054464
大同區公所,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區昌吉街57號4樓,121.515458,25.066028
臺北市立圖書館蘭州閱覽室,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區昌吉街57號4樓,121.515458,25.066028
大同8號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區大龍街240號之10旁,121.515838,25.069915
公有安東市場,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區瑞安街75號,121.541146,25.028279
捷運忠孝新生站,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大安區新生南路一段67號,121.533107,25.042023
國立臺灣大學,2011/12/14 下午 05:01:00,座數：121，特優級：26，優等級：95，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大安區羅斯福路四段1號,121.529989,25.013673
臺北市立民族國民中學,2011/12/14 下午 05:01:00,座數：10，特優級：3，優等級：7，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區羅斯福路四段113巷13號,121.537585,25.011038
大安地政事務所,2011/12/14 下午 05:01:00,座數：8，特優級：0，優等級：8，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區四維路198巷12號,121.546987,25.02661
臺北市立圖書館大安分館,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區辛亥路三段223號4、5樓,121.5504876,25.0161606
臺北市立圖書館總館,2011/12/14 下午 05:01:00,座數：22，特優級：2，優等級：20，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市大安區建國南路二段125號,121.538369,25.029152
台北香城大飯店,2011/12/14 下午 05:01:00,座數：2，特優級：1，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區信義路四段 295號,121.5552543,25.0334223
統一星巴克龍門門市,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區忠孝東路四段134號1樓,121.54837,25.041327
大安22號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區杭州南路二段55巷19之2號對面,121.523596,25.032626
中山康樂公園(公園中山15號),2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區林森北路與南京東路一段交叉口,121.524911,25.053302
公有中山市場,2011/12/14 下午 05:01:00,座數：3，特優級：0，優等級：0，普通級：3，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區長安西路3號,121.521077,25.050213
捷運中山國小站,2011/12/14 下午 05:01:00,座數：3，特優級：3，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區民權東路一段71號B1,121.527108,25.062798
財團法人台北市中庄仔福德宮,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區吉林路236巷35號,121.5289414,25.0593976
大同大學,2011/12/14 下午 05:01:00,座數：26，特優級：0，優等級：26，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區中山北路三段40號,121.522206,25.067015
臺北市立五常國民中學,2011/12/14 下午 05:01:00,座數：14，特優級：0，優等級：14，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區復興北路430巷1號,121.543355,25.063529
國稅局中北稅捐稽徵所,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區松江路367號4樓,121.533556,25.064455
六福皇宮飯店,2011/12/14 下午 05:01:00,座數：7，特優級：7，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區南京東路三段133號,121.541112,25.052181
雙溪公園,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:26:00,臺北市士林區福林路、至善路口東南側,121.53547,25.098298
社園立體停車場,2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區延平北路六段180號,121.505951,25.089582
士林天母棒球場,2011/12/14 下午 05:01:00,座數：20，特優級：1，優等級：13，普通級：6，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區忠誠路二段77號,121.534287,25.114385
臺北市士林區文昌國民小學,2011/12/14 下午 05:01:00,座數：23，特優級：0，優等級：23，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區文林路615巷20號,121.521336,25.099402
臺北市立天母國民中學,2011/12/14 下午 05:01:00,座數：42，特優級：1，優等級：41，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區天母東路120號,121.538362,25.117906
銘傳大學,2011/12/14 下午 05:01:00,座數：38，特優級：38，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區中山北路五段250號,121.527633,25.087388
臺北市立圖書館士林分館,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：0，普通級：2，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區華聲街17號3樓,121.522253,25.096278
統一星巴克士林門市,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區文林路122號1樓,121.526477,25.088352
玉泉公園,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區西寧北路28號,121.507347,25.049723
揚雅立體停車場,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區大龍街136號,121.515846,25.067427
臺北市大同區延平國民小學,2011/12/14 下午 05:01:00,座數：15，特優級：5，優等級：10，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區昌吉街97號,121.512546,25.066129
大橋派出所,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區延平北路三段2號,121.510943,25.063401
丹堤咖啡迪化分公司,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區延平北路二段126號,121.511444,25.057349
大同5號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大同區哈密街59巷18弄22號旁,121.515148,25.074356
伊甸加油站,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大安區建國南路一段57之1號,121.537003,25.044382
捷運忠孝復興站,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大安區忠孝東路三段286號,121.542995,25.041483
國立台北教育大學附設實驗國民小學,2011/12/14 下午 05:01:00,座數：10，特優級：0，優等級：10，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區和平東路二段94號,121.540419,25.025048
臺北市立大安國民中學,2011/12/14 下午 05:01:00,座數：16，特優級：1，優等級：14，普通級：1，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區大安路二段63號,121.54615,25.030736
臺北市私立新民國民小學,2011/12/14 下午 05:01:00,座數：16，特優級：13，優等級：3，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區辛亥路一段113號,121.532115,25.022502
臺北市立圖書館延吉閱覽室,2011/12/14 下午 05:01:00,座數：4，特優級：3，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區延吉街236巷17號3-4樓,121.555021,25.036117
台北遠東國際大飯店,2011/12/14 下午 05:01:00,座數：8，特優級：1，優等級：7，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市大安區敦化南路二段201號,121.549282,25.026612
彭園湘菜館(羅斯福路店),2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區羅斯福路二段27號,121.522074,25.028007
大安24號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市大安區基隆路三段155巷128號邊,121.547823,25.0124575
民族公園,2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區民族東路新生北路口,121.527608,25.068483
公有長春市場,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：0，普通級：2，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區長春路299號,121.542386,25.054769
捷運民權西路站,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區民權西路72號,121.519346,25.062879
中嶽殿,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區民族東路115號,121.538393,25.068383
財團法人台北市臨濟護國禪寺,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區酒泉街5巷27號,121.520705,25.072233
蔡月瑞舞蹈研究社,2011/12/14 下午 05:01:00,座數：3，特優級：0，優等級：3，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區中山北路二段48巷10號,121.521986,25.055776
